# Strong Scaling Comparison Report
# Date: Wed Jun 11 12:06:19 PM UTC 2025
# Fixed Problem Size: 100 trees
# Format: Cores,MPI_Config,OpenMP_Config,MPI_Time_ms,OpenMP_Time_ms,MPI_Speedup,OpenMP_Speedup,MPI_Efficiency,OpenMP_Efficiency,Relative_Performance
1,6P×1T,1T,983,4330,4.86,1.00,.810,1.00,4.40
2,9P×2T,2T,655,3340,7.29,1.29,.405,.645,5.09
4,4P×1T,4T,1360,1777,3.51,2.43,.877,.607,1.30
6,6P×1T,6T,983,1307,4.86,3.31,.810,.551,1.32
9,5P×2T,9T,1013,941,4.71,4.60,.523,.511,.92
12,6P×2T,12T,924,754,5.17,5.74,.430,.478,.81
15,8P×2T,15T,743,653,6.43,6.63,.428,.442,.87
18,9P×2T,18T,655,544,7.29,7.95,.405,.441,.83
21,7P×3T,21T,838,470,5.70,9.21,.271,.438,.56
24,8P×3T,24T,727,455,6.57,9.51,.273,.396,.62
27,9P×3T,27T,669,390,7.14,11.10,.264,.411,.58
30,10P×3T,30T,596,393,8.01,11.01,.267,.367,.65
33,11P×3T,33T,575,370,8.31,11.70,.251,.354,.64
36,12P×3T,36T,536,332,8.91,13.04,.247,.362,.61
